model,context,nfrs,strategy,total_clones,entries_covered,avg_codebleu,efficiency_score
gemma3:latest,minimal,nfr0,zero-shot,1,1,0.136,7.344
deepseek-r1,requirements,nfr3,cot,1,1,0.144,6.965
llama3.1:latest,minimal,nfr5,zero-shot,1,1,0.158,6.343
llama4:latest,requirements,nfr3,few-shot,1,1,0.161,6.204
llama4:latest,minimal,nfr5,zero-shot,1,1,0.165,6.063
gemma3:latest,ast,nfr1,few-shot,1,1,0.183,5.472
llama4:latest,minimal,nfr0,few-shot,1,1,0.183,5.472
deepseek-r1,requirements,nfr5,zero-shot,1,1,0.203,4.937
deepseek-r1,minimal,nfr2,cot,1,1,0.216,4.62
deepseek-r1,translation,nfr0,few-shot,2,2,0.222,4.495
gemma3:latest,translation,nfr1,few-shot,1,1,0.223,4.482
deepseek-r1,translation,nfr0,cot,1,1,0.228,4.391
llama3.1:latest,translation,nfr0,few-shot,1,1,0.23,4.35
deepseek-r1,translation,nfr5,cot,1,1,0.234,4.269
deepseek-r1,minimal,nfr0,cot,1,1,0.234,4.266
llama4:latest,translation,nfr4,zero-shot,1,1,0.237,4.224
gemma3:latest,minimal,nfr0,cot,1,1,0.238,4.194
gemma3:latest,minimal,nfr2,zero-shot,1,1,0.241,4.154
llama3.1:latest,minimal,nfr0,cot,1,1,0.241,4.144
deepseek-r1,ast,nfr0,cot,1,1,0.242,4.125
llama3.1:latest,minimal,nfr0,few-shot,1,1,0.248,4.04
llama3.1:latest,minimal,nfr2,cot,1,1,0.25,3.998
deepseek-r1,requirements,nfr4,zero-shot,1,1,0.251,3.977
deepseek-r1,minimal,nfr4,cot,2,2,0.262,3.811
deepseek-r1,requirements,nfr0,zero-shot,2,2,0.263,3.808
gemma3:latest,uml,nfr3,few-shot,1,1,0.265,3.78
deepseek-r1,translation,nfr1,few-shot,1,1,0.269,3.723
llama4:latest,translation,nfr3,few-shot,1,1,0.269,3.717
deepseek-r1,requirements,nfr1,cot,2,2,0.272,3.677
deepseek-r1,minimal,nfr0,zero-shot,1,1,0.272,3.677
llama3.1:latest,translation,nfr4,zero-shot,1,1,0.273,3.66
llama4:latest,minimal,nfr2,zero-shot,2,2,0.274,3.655
gemma3:latest,minimal,nfr3,cot,1,1,0.274,3.65
llama3.1:latest,minimal,nfr2,few-shot,1,1,0.279,3.582
llama3.1:latest,minimal,nfr5,few-shot,2,2,0.293,3.412
deepseek-r1,minimal,nfr5,zero-shot,2,2,0.298,3.357
deepseek-r1,uml,nfr4,cot,1,1,0.299,3.348
gemma3:latest,uml,nfr0,zero-shot,1,1,0.3,3.335
llama4:latest,translation,nfr5,few-shot,1,1,0.3,3.333
deepseek-r1,minimal,nfr3,zero-shot,1,1,0.3,3.332
gemma3:latest,requirements,nfr2,zero-shot,1,1,0.302,3.308
deepseek-r1,translation,nfr5,zero-shot,1,1,0.306,3.268
deepseek-r1,uml,nfr5,zero-shot,1,1,0.312,3.207
deepseek-r1,minimal,nfr4,zero-shot,3,3,0.313,3.198
gemma3:latest,requirements,nfr2,cot,1,1,0.315,3.172
llama3.1:latest,requirements,nfr2,zero-shot,2,2,0.317,3.153
llama3.1:latest,requirements,nfr2,cot,2,2,0.319,3.133
llama4:latest,ast,nfr5,zero-shot,1,1,0.323,3.098
llama4:latest,minimal,nfr2,few-shot,1,1,0.325,3.081
llama3.1:latest,requirements,nfr0,few-shot,1,1,0.333,3.004
deepseek-r1,requirements,nfr2,zero-shot,1,1,0.335,2.983
deepseek-r1,translation,nfr3,zero-shot,1,1,0.336,2.979
deepseek-r1,complete,nfr5,cot,1,1,0.338,2.957
deepseek-r1,translation,nfr0,zero-shot,1,1,0.342,2.923
llama4:latest,translation,nfr1,zero-shot,2,2,0.342,2.922
deepseek-r1,ast,nfr3,zero-shot,1,1,0.347,2.886
llama4:latest,minimal,nfr4,zero-shot,1,1,0.348,2.876
gemma3:latest,translation,nfr2,cot,1,1,0.35,2.857
llama4:latest,requirements,nfr0,few-shot,2,2,0.35,2.857
llama3.1:latest,translation,nfr4,few-shot,1,1,0.355,2.816
deepseek-r1,minimal,nfr2,few-shot,1,1,0.357,2.8
llama4:latest,requirements,nfr2,zero-shot,1,1,0.36,2.78
deepseek-r1,uml,nfr4,zero-shot,2,2,0.364,2.746
llama4:latest,requirements,nfr4,zero-shot,1,1,0.367,2.721
deepseek-r1,ast,nfr5,few-shot,2,2,0.373,2.679
deepseek-r1,minimal,nfr5,few-shot,1,1,0.378,2.645
llama4:latest,ast,nfr2,cot,2,2,0.389,2.568
llama3.1:latest,translation,nfr2,cot,1,1,0.391,2.555
gemma3:latest,minimal,nfr2,few-shot,1,1,0.392,2.552
deepseek-r1,complete,nfr0,cot,1,1,0.392,2.551
deepseek-r1,complete,nfr2,cot,1,1,0.392,2.548
deepseek-r1,requirements,nfr5,few-shot,1,1,0.393,2.545
llama4:latest,complete,nfr0,cot,1,1,0.398,2.515
llama4:latest,minimal,nfr4,few-shot,1,1,0.401,2.494
gemma3:latest,ast,nfr0,few-shot,1,1,0.41,2.437
llama4:latest,ast,nfr2,few-shot,1,1,0.413,2.42
llama4:latest,translation,nfr2,zero-shot,1,1,0.415,2.412
deepseek-r1,complete,nfr4,cot,1,1,0.417,2.396
deepseek-r1,complete,nfr1,cot,1,1,0.422,2.369
deepseek-r1,ast,nfr2,cot,1,1,0.425,2.352
deepseek-r1,complete,nfr1,few-shot,1,1,0.431,2.322
llama3.1:latest,complete,nfr0,zero-shot,1,1,0.435,2.298
llama3.1:latest,translation,nfr1,cot,1,1,0.439,2.28
gemma3:latest,ast,nfr2,zero-shot,1,1,0.44,2.273
llama4:latest,complete,nfr4,cot,1,1,0.449,2.228
llama3.1:latest,translation,nfr0,cot,1,1,0.454,2.202
deepseek-r1,ast,nfr4,few-shot,1,1,0.467,2.14
deepseek-r1,requirements,nfr3,zero-shot,1,1,0.486,2.059
deepseek-r1,minimal,nfr2,zero-shot,1,1,0.493,2.03
