model,context,refac,strategy,N_0,N_1,N_2,N_3,N_5,efficiency,S_codebleu,S_tests,S_reprompt,S_final
gpt-oss:20b,complete,"refac_1,refac_3,refac_4",zero-shot,927,390,310,0.0,128,0.1381,0.4207,0.7949,0.0,0.4129
deepseek-r1:14b,test,"refac_2,refac_5,refac_6",zero-shot,927,821,376,14.0,123,0.1327,0.8857,0.458,0.0372,0.3154
deepseek-r1:14b,test,"refac_2,refac_6,refac_7",zero-shot,927,789,366,8.0,114,0.123,0.8511,0.4639,0.0219,0.3048
gpt-oss:20b,test,"refac_1,refac_3,refac_4",cot,927,456,323,1.0,110,0.1187,0.4919,0.7083,0.0031,0.3395
deepseek-r1:14b,test,"refac_3,refac_5,refac_7",zero-shot,927,809,365,8.0,108,0.1165,0.8727,0.4512,0.0219,0.2895
deepseek-r1:14b,test,"refac_1,refac_4,refac_5",zero-shot,927,853,367,10.0,107,0.1154,0.9202,0.4302,0.0272,0.2838
deepseek-r1:14b,complete,"refac_2,refac_6,refac_7",zero-shot,927,675,281,6.0,103,0.1111,0.7282,0.4163,0.0214,0.3589
deepseek-r1:14b,code,"refac_1,refac_4,refac_5",zero-shot,927,653,297,5.0,93,0.1003,0.7044,0.4548,0.0168,0.3079
deepseek-r1:14b,test,"refac_1,refac_3,refac_4",zero-shot,927,850,381,9.0,91,0.0982,0.9169,0.4482,0.0236,0.2333
deepseek-r1:14b,complete,"refac_2,refac_5,refac_6",zero-shot,927,664,261,1.0,91,0.0982,0.7163,0.3931,0.0038,0.3473
deepseek-r1:14b,code,"refac_3,refac_5,refac_7",zero-shot,927,652,283,5.0,89,0.096,0.7033,0.434,0.0177,0.309
deepseek-r1:14b,complete,"refac_1,refac_4,refac_5",zero-shot,927,604,361,3.0,86,0.0928,0.6516,0.5977,0.0083,0.2363
deepseek-r1:14b,complete,"refac_2,refac_4,refac_6",zero-shot,927,700,299,4.0,86,0.0928,0.7551,0.4271,0.0134,0.2838
deepseek-r1:14b,code,"refac_2,refac_6,refac_7",zero-shot,927,735,176,5.0,84,0.0906,0.7929,0.2395,0.0284,0.4641
gpt-oss:20b,complete,"refac_1,refac_3,refac_4",cot,927,430,334,1.0,82,0.0885,0.4639,0.7767,0.003,0.2448
deepseek-r1:14b,test,"refac_1,refac_3,refac_7",zero-shot,927,800,351,0.0,79,0.0852,0.863,0.4388,0.0,0.2251
deepseek-r1:14b,complete,"refac_3,refac_5,refac_7",zero-shot,927,580,335,2.0,78,0.0841,0.6257,0.5776,0.006,0.2315
deepseek-r1:14b,test,"refac_1,refac_4,refac_5",cot,927,843,386,10.0,78,0.0841,0.9094,0.4579,0.0259,0.197
llama3.1:latest,test,"refac_1,refac_4,refac_5",zero-shot,924,777,258,12.0,77,0.0833,0.8409,0.332,0.0465,0.2852
deepseek-r1:14b,complete,"refac_1,refac_3,refac_7",zero-shot,927,607,346,6.0,77,0.0831,0.6548,0.57,0.0173,0.2188
gpt-oss:20b,test,"refac_2,refac_4,refac_6",cot,927,394,225,0.0,73,0.0787,0.425,0.5711,0.0,0.3244
gpt-oss:20b,code,"refac_1,refac_3,refac_4",cot,927,525,208,1.0,72,0.0777,0.5663,0.3962,0.0048,0.3445
gpt-oss:20b,test,"refac_1,refac_3,refac_7",cot,927,283,214,1.0,72,0.0777,0.3053,0.7562,0.0047,0.3349
deepseek-r1:14b,code,"refac_2,refac_5,refac_6",zero-shot,927,717,164,4.0,71,0.0766,0.7735,0.2287,0.0244,0.4226
gpt-oss:20b,ast,"refac_1,refac_3,refac_4",cot,927,577,217,1.0,69,0.0744,0.6224,0.3761,0.0046,0.3165
gpt-oss:20b,ast,"refac_1,refac_3,refac_4",zero-shot,927,433,167,0.0,69,0.0744,0.4671,0.3857,0.0,0.4132
deepseek-r1:14b,test,"refac_2,refac_4,refac_6",zero-shot,927,852,384,8.0,68,0.0734,0.9191,0.4507,0.0208,0.1735
deepseek-r1:14b,code,"refac_2,refac_4,refac_6",zero-shot,927,726,182,4.0,67,0.0723,0.7832,0.2507,0.022,0.3602
deepseek-r1:14b,code,"refac_1,refac_3,refac_7",zero-shot,927,643,270,1.0,66,0.0712,0.6936,0.4199,0.0037,0.2435
