model,dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
microsoft/codebert-base-default,Kamino,python,21172,0.7,0.5238506477012954,0.9741167579822408,0.6813121469393149,0.1735571054496852,10312,1213,9373,274
microsoft/codebert-base-default,GPTCloneBench,python,5640,0.7,0.5,1.0,0.6666666666666666,0.0,2820,0,2820,0
microsoft/codebert-base-default,GPTCloneBench,java,14192,0.7,0.4998586572438162,0.9967587373167982,0.6658194483667513,-0.0051886828530258,7073,19,7077,23
microsoft/codebert-base-default,GPTCloneBench,csharp,9816,0.7,0.4998468293679158,0.9973512632436836,0.665941092442691,-0.0063211989524031,4895,10,4898,13
microsoft/codebert-base-default,GPTCloneBench,c,6890,0.7,0.5019670697945505,1.0,0.6684128831975165,0.0627227198796494,3445,27,3418,0
Salesforce/codet5-base-default,Kamino,python,21172,0.7,0.5651727091064802,0.9351029661817496,0.7045300878972279,0.2852583465026681,9899,2970,7616,687
Salesforce/codet5-base-default,GPTCloneBench,python,5640,0.7,0.5978736710444027,0.6780141843971631,0.635427052176803,0.2240073527403355,1912,1534,1286,908
Salesforce/codet5-base-default,GPTCloneBench,java,14192,0.7,0.6480232558139535,0.7853720405862458,0.7101172273190622,0.3671348337595195,5573,4069,3027,1523
Salesforce/codet5-base-default,GPTCloneBench,csharp,9816,0.7,0.6901907816984636,0.8329258353708231,0.754870279752562,0.4691893261457935,4088,3073,1835,820
Salesforce/codet5-base-default,GPTCloneBench,c,6890,0.7,0.7231597845601436,0.5846153846153846,0.6465489566613163,0.3676223849069273,2014,2674,771,1431
microsoft/codebert-base,Kamino,python,21172,0.7,0.9906399651719634,0.8598148498016248,0.9206028117730354,0.859216304474939,9102,10500,86,1484
microsoft/codebert-base,GPTCloneBench,python,5640,0.7,0.9849137931034484,0.8102836879432624,0.8891050583657587,0.8107173807037541,2285,2785,35,535
microsoft/codebert-base,GPTCloneBench,java,14192,0.7,0.9787485242030696,0.8177846674182638,0.8910556621880997,0.8110717830293377,5803,6970,126,1293
microsoft/codebert-base,GPTCloneBench,csharp,9816,0.7,0.9956709956709956,0.8903830480847595,0.9400882004947834,0.8915103347948731,4370,4889,19,538
microsoft/codebert-base,GPTCloneBench,c,6890,0.7,0.9688235294117648,0.4780841799709724,0.6402332361516035,0.5366364617269839,1647,3392,53,1798
Salesforce/codet5-base,Kamino,python,21172,0.7,0.9883798882681564,0.8356319667485358,0.9056101556101556,0.8358496112419727,8846,10482,104,1740
Salesforce/codet5-base,GPTCloneBench,python,5640,0.7,0.9195121951219511,0.8021276595744681,0.8568181818181818,0.7379527906410479,2262,2622,198,558
Salesforce/codet5-base,GPTCloneBench,java,14192,0.7,0.9369494668521094,0.8544250281848929,0.8937863934547062,0.8000371114058704,6063,6688,408,1033
Salesforce/codet5-base,GPTCloneBench,csharp,9816,0.7,0.9896466351564258,0.8958842705786471,0.9404341781627632,0.8905175983602154,4397,4862,46,511
Salesforce/codet5-base,GPTCloneBench,c,6890,0.7,0.9438423645320198,0.5561683599419448,0.6999086757990868,0.5737049975668764,1916,3331,114,1529
