model,dataset,lan,pairs,threshold,precision,recall,f1
Salesforce/codet5-base,Kamino,python,19850,,0.9,0.9814884775217227,0.5235264483627204,0.6828306721860833
Salesforce/codet5-base-default,Kamino,python,19850,,0.9,0.9416846652267818,0.2635768261964735,0.4118712115248366
microsoft/codebert-base-default,Kamino,python,19850,,0.9,0.5353286713286713,0.9641309823677582,0.6884172661870503
microsoft/codebert-base,Kamino,python,19850,,0.9,0.984171322160149,0.638992443324937,0.7748793451035494
microsoft/codebert-base,Kamino,python,19850,,0.8,0.9856931425752344,0.8052392947103274,0.8863749792047912
microsoft/codebert-base-default,Kamino,python,19850,,0.8,0.5356664434025452,0.9669521410579344,0.6894148917064761
Salesforce/codet5-base-default,Kamino,python,19850,,0.8,0.7116679873217115,0.7239294710327456,0.7177463663153689
Salesforce/codet5-base,Kamino,python,19850,,0.8,0.9841466776950648,0.719294710327456,0.8311310320740439
Salesforce/codet5-base,Kamino,python,19850,,0.7,0.9825406381697772,0.8221662468513854,0.8952276467361492
Salesforce/codet5-base-default,Kamino,python,19850,,0.7,0.5686312649938403,0.8836272040302267,0.6919678081110936
microsoft/codebert-base-default,Kamino,python,19850,,0.7,0.5356664434025452,0.9669521410579344,0.6894148917064761
microsoft/codebert-base,Kamino,python,19850,,0.7,0.9847432540134351,0.8714357682619648,0.9246311738293779
