model,train_dataset,test_dataset,lan,pairs,threshold,precision,recall,f1,mcc,TP,TN,FP,FN
microsoft/codebert-base,Kamino-LD,GPTCloneBench,csharp,9816,0.5,0.9889643463497452,0.9494702526487367,0.9688149688149688,0.93962485593878,4660,4856,52,248
Salesforce/codet5-base,Kamino-MD,GPTCloneBench,csharp,9816,0.5,0.9792496332005868,0.9519152404237978,0.965388986465544,0.9321072968999364,4672,4809,99,236
microsoft/codebert-base,Kamino-MD,GPTCloneBench,csharp,9816,0.5,0.9867944621938232,0.9439690301548492,0.9649067999583464,0.9322148890521016,4633,4846,62,275
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,csharp,9816,0.5,0.9911846914642012,0.939282803585982,0.9645360393346584,0.9322079994456024,4610,4867,41,298
Salesforce/codet5-base,Kamino-HD,GPTCloneBench,csharp,9816,0.5,0.9454545454545454,0.9747351263243684,0.9598715890850722,0.9189412058598764,4784,4632,276,124
microsoft/codebert-base,Kamino-HD,GPTCloneBench,csharp,9816,0.5,0.9483558603994352,0.9578239608801956,0.9530663963507348,0.9057093607621892,4701,4652,256,207
microsoft/codebert-base,Kamino-MD,GPTCloneBench,python,5640,0.5,0.9783449342614076,0.8971631205673759,0.9359970403255642,0.8803409797221052,2530,2764,56,290
microsoft/codebert-base,Kamino-MD,GPTCloneBench,java,14192,0.5,0.9579404280796288,0.9019165727170236,0.9290847063947156,0.8637952993102229,6400,6815,281,696
microsoft/codebert-base,Kamino-LD,GPTCloneBench,python,5640,0.5,0.9824,0.8709219858156029,0.923308270676692,0.8608797159593892,2456,2776,44,364
microsoft/codebert-base,Kamino-LD,GPTCloneBench,java,14192,0.5,0.9709266169154228,0.8800732807215332,0.9232702542874038,0.8574827468544179,6245,6909,187,851
Salesforce/codet5-base,Kamino-MD,GPTCloneBench,java,14192,0.5,0.926487919858574,0.8862739571589628,0.9059348890809564,0.8167223526998343,6289,6597,499,807
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,python,5640,0.5,0.946282600233554,0.8620567375886525,0.9022082018927444,0.8163607093516099,2431,2682,138,389
microsoft/codebert-base,Kamino-HD,GPTCloneBench,java,14192,0.5,0.8564914502849905,0.9529312288613304,0.9021412847708624,0.7983408182863003,6762,5963,1133,334
Salesforce/codet5-base,Kamino-LD,GPTCloneBench,java,14192,0.5,0.9614074914869466,0.8355411499436303,0.8940661992007842,0.8089638053665164,5929,6858,238,1167
Salesforce/codet5-base,Kamino-HD,GPTCloneBench,java,14192,0.5,0.830885030957873,0.9644870349492672,0.8927150590230223,0.7783066947441619,6844,5703,1393,252
Salesforce/codet5-base,Kamino-HD,SemanticCloneBench,csharp,1870,0.5,0.942652329749104,0.8438502673796792,0.8905191873589166,0.7969027366150536,789,887,48,146
microsoft/codebert-base,Kamino-HD,SemanticCloneBench,csharp,1870,0.5,0.9489671931956256,0.8352941176470589,0.888509670079636,0.7961065185428476,781,893,42,154
Salesforce/codet5-base,Kamino-MD,GPTCloneBench,python,5640,0.5,0.8737024221453287,0.8953900709219859,0.8844133099824868,0.7661935344564346,2525,2455,365,295
Salesforce/codet5-base,Kamino-HD,SemanticCloneBench,java,1992,0.5,0.8756169792694966,0.8905622489959839,0.8830263812842211,0.764167543924173,887,870,126,109
Salesforce/codet5-base,Kamino-HD,GPTCloneBench,python,5640,0.5,0.7963071512309496,0.9634751773049646,0.8719512195121951,0.7333630875105198,2717,2125,695,103
microsoft/codebert-base,Kamino-HD,GPTCloneBench,python,5640,0.5,0.7985185185185185,0.9556737588652482,0.8700564971751411,0.728792775299505,2695,2140,680,125
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,python,2000,0.5,0.9586877278250304,0.789,0.8656061437191443,0.7671120460938926,789,966,34,211
Salesforce/codet5-base,Kamino-HD,SemanticCloneBench,python,2000,0.5,0.7962489343563512,0.934,0.8596410492406811,0.7056397602801192,934,761,239,66
microsoft/codebert-base,Kamino-HD,SemanticCloneBench,python,2000,0.5,0.8012205754141238,0.919,0.8560782487191431,0.698589128517883,919,772,228,81
microsoft/codebert-base,Kamino-HD,SemanticCloneBench,java,1992,0.5,0.8848223896663079,0.8253012048192772,0.854025974025974,0.7195012496076966,822,889,107,174
Salesforce/codet5-base,Kamino-MD,SemanticCloneBench,python,2000,0.5,0.9,0.81,0.8526315789473685,0.7236272269866327,810,910,90,190
Salesforce/codet5-base,Kamino-MD,SemanticCloneBench,csharp,1870,0.5,0.97724039829303,0.73475935828877,0.8388278388278388,0.740814423941076,687,919,16,248
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,python,2000,0.5,0.9798657718120806,0.73,0.836676217765043,0.7394452823910762,730,985,15,270
microsoft/codebert-base,Kamino-MD,SemanticCloneBench,csharp,1870,0.5,0.9852289512555392,0.7133689839572193,0.827543424317618,0.7310562820114337,667,925,10,268
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,csharp,1870,0.5,0.9880059970014992,0.704812834224599,0.822721598002497,0.7267503639612657,659,927,8,276
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,csharp,1870,0.5,0.98796992481203,0.7026737967914438,0.8212499999999999,0.7250039132279653,657,927,8,278
microsoft/codebert-base,Kamino-MD,SemanticCloneBench,python,2000,0.5,0.973463687150838,0.697,0.8123543123543123,0.7071160108394268,697,981,19,303
microsoft/codebert-base,Kamino-MD,SemanticCloneBench,java,1992,0.5,0.9690576652601968,0.6917670682730924,0.8072642062097246,0.6989022983816409,689,974,22,307
Salesforce/codet5-base,Kamino-MD,SemanticCloneBench,java,1992,0.5,0.9428571428571428,0.6957831325301205,0.8006932409012132,0.6772822286047161,693,954,42,303
microsoft/codebert-base,Kamino-LD,SemanticCloneBench,java,1992,0.5,0.9674556213017752,0.6566265060240963,0.7822966507177033,0.6700632287258111,654,974,22,342
Salesforce/codet5-base,Kamino-LD,SemanticCloneBench,java,1992,0.5,0.9614243323442137,0.6506024096385542,0.7760479041916167,0.6599373846212915,648,970,26,348
