source_id,target_id,similarity
BigCodeBench/586,BigCodeBench/585,0.7199466
BigCodeBench/586,BigCodeBench/26,0.6065486
BigCodeBench/586,BigCodeBench/504,0.48518878
BigCodeBench/586,BigCodeBench/644,0.48422283
BigCodeBench/586,BigCodeBench/534,0.43441516
BigCodeBench/285,BigCodeBench/996,0.51719785
BigCodeBench/285,BigCodeBench/284,0.47718108
BigCodeBench/285,BigCodeBench/207,0.43996665
BigCodeBench/285,BigCodeBench/32,0.4070895
BigCodeBench/285,BigCodeBench/1038,0.39224246
BigCodeBench/478,BigCodeBench/481,0.78428346
BigCodeBench/478,BigCodeBench/480,0.7812444
BigCodeBench/478,BigCodeBench/482,0.75548756
BigCodeBench/478,BigCodeBench/1086,0.6086148
BigCodeBench/478,BigCodeBench/1070,0.5971999
BigCodeBench/967,BigCodeBench/970,0.44908834
BigCodeBench/967,BigCodeBench/966,0.4382367
BigCodeBench/967,BigCodeBench/448,0.4268861
BigCodeBench/967,BigCodeBench/476,0.42441356
BigCodeBench/967,BigCodeBench/312,0.41076416
BigCodeBench/1083,BigCodeBench/1001,0.61647147
BigCodeBench/1083,BigCodeBench/456,0.5795069
BigCodeBench/1083,BigCodeBench/1081,0.55381393
BigCodeBench/1083,BigCodeBench/160,0.53742033
BigCodeBench/1083,BigCodeBench/151,0.53361803
BigCodeBench/997,BigCodeBench/1041,0.43639567
BigCodeBench/997,BigCodeBench/722,0.43416423
BigCodeBench/997,BigCodeBench/1000,0.41867924
BigCodeBench/997,BigCodeBench/158,0.40103602
BigCodeBench/997,BigCodeBench/1118,0.385836
BigCodeBench/316,BigCodeBench/462,0.6382793
BigCodeBench/316,BigCodeBench/167,0.633043
BigCodeBench/316,BigCodeBench/165,0.59970176
BigCodeBench/316,BigCodeBench/163,0.58782506
BigCodeBench/316,BigCodeBench/909,0.5800854
BigCodeBench/290,BigCodeBench/332,0.70198697
BigCodeBench/290,BigCodeBench/957,0.644601
BigCodeBench/290,BigCodeBench/806,0.58382183
BigCodeBench/290,BigCodeBench/216,0.5817083
BigCodeBench/290,BigCodeBench/733,0.5595148
BigCodeBench/757,BigCodeBench/755,0.5758207
BigCodeBench/757,BigCodeBench/481,0.49120912
BigCodeBench/757,BigCodeBench/480,0.48491043
BigCodeBench/757,BigCodeBench/933,0.4613999
BigCodeBench/757,BigCodeBench/554,0.4417957
BigCodeBench/960,BigCodeBench/1119,0.69955003
BigCodeBench/960,BigCodeBench/959,0.6438987
BigCodeBench/960,BigCodeBench/479,0.5714959
BigCodeBench/960,BigCodeBench/843,0.5675845
BigCodeBench/960,BigCodeBench/24,0.5626335
BigCodeBench/837,BigCodeBench/948,0.7217245
BigCodeBench/837,BigCodeBench/835,0.71861017
BigCodeBench/837,BigCodeBench/877,0.63599956
BigCodeBench/837,BigCodeBench/949,0.604249
BigCodeBench/837,BigCodeBench/805,0.5926063
BigCodeBench/1078,BigCodeBench/970,0.73428726
BigCodeBench/1078,BigCodeBench/1061,0.7205075
BigCodeBench/1078,BigCodeBench/116,0.7057315
BigCodeBench/1078,BigCodeBench/312,0.5833143
BigCodeBench/1078,BigCodeBench/38,0.5819267
BigCodeBench/522,BigCodeBench/521,0.69438916
BigCodeBench/522,BigCodeBench/886,0.6701735
BigCodeBench/522,BigCodeBench/524,0.6683735
BigCodeBench/522,BigCodeBench/469,0.6436082
BigCodeBench/522,BigCodeBench/520,0.62325543
BigCodeBench/712,BigCodeBench/783,1.0
BigCodeBench/712,BigCodeBench/756,0.9708114
BigCodeBench/712,BigCodeBench/759,0.6908606
BigCodeBench/712,BigCodeBench/962,0.6573058
BigCodeBench/712,BigCodeBench/965,0.6367974
BigCodeBench/343,BigCodeBench/112,0.64389706
BigCodeBench/343,BigCodeBench/43,0.57504654
BigCodeBench/343,BigCodeBench/966,0.565457
BigCodeBench/343,BigCodeBench/225,0.52857727
BigCodeBench/343,BigCodeBench/9,0.5233243
BigCodeBench/651,BigCodeBench/514,0.57095283
BigCodeBench/651,BigCodeBench/109,0.5640706
BigCodeBench/651,BigCodeBench/846,0.55223227
BigCodeBench/651,BigCodeBench/653,0.53050643
BigCodeBench/651,BigCodeBench/652,0.5220274
BigCodeBench/248,BigCodeBench/209,0.54386973
BigCodeBench/248,BigCodeBench/470,0.53864574
BigCodeBench/248,BigCodeBench/588,0.5269227
BigCodeBench/248,BigCodeBench/250,0.52141076
BigCodeBench/248,BigCodeBench/197,0.5179449
BigCodeBench/1032,BigCodeBench/515,0.62883407
BigCodeBench/1032,BigCodeBench/98,0.62441695
BigCodeBench/1032,BigCodeBench/896,0.6180941
BigCodeBench/1032,BigCodeBench/1086,0.613951
BigCodeBench/1032,BigCodeBench/855,0.6076609
BigCodeBench/500,BigCodeBench/499,0.6483495
BigCodeBench/500,BigCodeBench/873,0.6381441
BigCodeBench/500,BigCodeBench/268,0.5213593
BigCodeBench/500,BigCodeBench/839,0.50355303
BigCodeBench/500,BigCodeBench/498,0.47889453
BigCodeBench/527,BigCodeBench/525,0.7843728
BigCodeBench/527,BigCodeBench/524,0.6679954
BigCodeBench/527,BigCodeBench/523,0.62863517
BigCodeBench/527,BigCodeBench/20,0.60283995
