model,context,nfrs,strategy,total_clones,entries_covered,avg_codebleu,efficiency_score
deepseek-r1,requirements,nfr3,cot,1,1,0.144,6.965
gemma3:latest,requirements,nfr0,zero-shot,1,1,0.159,6.297
llama4:latest,minimal,nfr5,zero-shot,1,1,0.165,6.063
deepseek-r1,translation,nfr0,few-shot,1,1,0.171,5.835
llama4:latest,complete,nfr1,cot,1,1,0.182,5.487
gemma3:latest,ast,nfr1,few-shot,1,1,0.183,5.472
gemma3:latest,minimal,nfr0,zero-shot,2,2,0.186,5.385
deepseek-r1,requirements,nfr5,zero-shot,1,1,0.203,4.937
deepseek-r1,minimal,nfr2,cot,1,1,0.211,4.748
llama3.1:latest,translation,nfr0,few-shot,1,1,0.23,4.35
llama3.1:latest,minimal,nfr2,cot,1,1,0.233,4.297
deepseek-r1,translation,nfr5,cot,1,1,0.234,4.269
deepseek-r1,ast,nfr0,cot,1,1,0.236,4.231
llama4:latest,translation,nfr4,zero-shot,1,1,0.237,4.224
deepseek-r1,minimal,nfr0,cot,1,1,0.244,4.104
deepseek-r1,uml,nfr5,few-shot,1,1,0.247,4.054
llama3.1:latest,minimal,nfr0,cot,1,1,0.247,4.042
gemma3:latest,minimal,nfr0,cot,1,1,0.248,4.037
deepseek-r1,requirements,nfr1,cot,2,2,0.249,4.019
llama3.1:latest,requirements,nfr2,cot,1,1,0.251,3.988
deepseek-r1,minimal,nfr1,few-shot,1,1,0.251,3.985
deepseek-r1,requirements,nfr0,zero-shot,1,1,0.251,3.985
llama3.1:latest,minimal,nfr5,few-shot,1,1,0.255,3.927
deepseek-r1,translation,nfr5,few-shot,1,1,0.261,3.831
gemma3:latest,minimal,nfr3,cot,1,1,0.262,3.82
deepseek-r1,minimal,nfr4,few-shot,1,1,0.265,3.78
gemma3:latest,translation,nfr1,few-shot,1,1,0.269,3.712
llama4:latest,translation,nfr1,cot,1,1,0.272,3.674
deepseek-r1,minimal,nfr2,zero-shot,1,1,0.279,3.581
deepseek-r1,minimal,nfr4,zero-shot,1,1,0.28,3.566
llama4:latest,minimal,nfr2,zero-shot,2,2,0.283,3.537
llama3.1:latest,requirements,nfr2,zero-shot,1,1,0.288,3.476
llama4:latest,translation,nfr0,cot,1,1,0.289,3.462
deepseek-r1,minimal,nfr0,zero-shot,1,1,0.295,3.39
deepseek-r1,minimal,nfr5,zero-shot,1,1,0.299,3.347
deepseek-r1,uml,nfr5,zero-shot,1,1,0.312,3.207
deepseek-r1,translation,nfr3,zero-shot,1,1,0.313,3.195
llama4:latest,ast,nfr5,zero-shot,1,1,0.329,3.044
llama3.1:latest,requirements,nfr0,few-shot,1,1,0.333,3.004
gemma3:latest,uml,nfr2,zero-shot,1,1,0.334,2.994
deepseek-r1,translation,nfr2,zero-shot,1,1,0.34,2.938
deepseek-r1,translation,nfr0,zero-shot,1,1,0.342,2.923
deepseek-r1,ast,nfr3,zero-shot,1,1,0.347,2.886
llama3.1:latest,minimal,nfr3,few-shot,1,1,0.347,2.886
deepseek-r1,requirements,nfr2,zero-shot,1,1,0.351,2.846
deepseek-r1,minimal,nfr2,few-shot,1,1,0.357,2.8
gemma3:latest,translation,nfr2,cot,1,1,0.358,2.793
llama4:latest,translation,nfr5,few-shot,1,1,0.362,2.761
deepseek-r1,ast,nfr5,few-shot,1,1,0.388,2.579
deepseek-r1,complete,nfr2,cot,1,1,0.392,2.548
llama4:latest,minimal,nfr4,few-shot,1,1,0.393,2.546
gemma3:latest,minimal,nfr2,zero-shot,1,1,0.396,2.525
