model,context,clones,min_codebleu,max_codebleu,avg_codebleu,std_codebleu,avg_passing,all_passed_per
deepseek-r1,ast,108,0.198,0.826,0.441,0.164,86.5,71.3
deepseek-r1,complete,108,0.315,1.0,0.652,0.208,95.9,95.4
deepseek-r1,minimal,108,0.2,0.672,0.318,0.086,86.8,75.0
deepseek-r1,requirements,108,0.139,0.672,0.343,0.101,74.7,48.1
deepseek-r1,translation,108,0.061,0.435,0.301,0.059,75.0,55.6
deepseek-r1,uml,108,0.217,1.0,0.397,0.152,69.4,34.3
gemma3:latest,ast,108,0.182,0.74,0.447,0.14,80.1,51.9
gemma3:latest,complete,108,0.2,1.0,0.861,0.179,94.5,94.4
gemma3:latest,minimal,108,0.136,0.413,0.284,0.085,89.3,59.3
gemma3:latest,requirements,108,0.138,0.458,0.32,0.096,80.3,38.0
gemma3:latest,translation,108,0.173,0.524,0.314,0.09,70.6,40.7
gemma3:latest,uml,108,0.169,1.0,0.369,0.173,78.7,35.2
llama3.1:latest,ast,108,0.243,0.953,0.698,0.181,91.0,87.0
llama3.1:latest,complete,108,0.244,1.0,0.781,0.171,91.4,86.1
llama3.1:latest,minimal,108,0.139,0.772,0.344,0.135,88.2,67.6
llama3.1:latest,requirements,108,0.16,0.499,0.322,0.086,78.9,64.8
llama3.1:latest,translation,108,0.22,0.669,0.38,0.078,68.0,46.3
llama3.1:latest,uml,108,0.179,1.0,0.461,0.218,65.6,30.6
llama4:latest,ast,108,0.243,0.953,0.592,0.245,99.6,98.1
llama4:latest,complete,108,0.182,1.0,0.631,0.177,97.0,96.3
llama4:latest,minimal,108,0.165,0.68,0.328,0.092,86.5,69.4
llama4:latest,requirements,108,0.165,0.512,0.336,0.083,93.2,76.9
llama4:latest,translation,108,0.183,0.584,0.359,0.078,90.2,70.4
llama4:latest,uml,108,0.259,1.0,0.465,0.214,78.0,47.2
