model,nfrs,clones,min_codebleu,max_codebleu,avg_codebleu,std_codebleu,avg_passing,all_passed_per
deepseek-r1,nfr0,108,0.171,1.0,0.408,0.195,86.2,66.7
deepseek-r1,nfr1,108,0.139,1.0,0.396,0.187,80.2,60.2
deepseek-r1,nfr2,108,0.211,1.0,0.46,0.188,73.7,56.5
deepseek-r1,nfr3,108,0.144,1.0,0.406,0.186,81.5,62.0
deepseek-r1,nfr4,108,0.061,1.0,0.392,0.179,86.4,69.4
deepseek-r1,nfr5,108,0.203,0.871,0.39,0.145,80.1,64.8
llama3.1:latest,nfr0,108,0.139,1.0,0.502,0.243,80.4,62.0
llama3.1:latest,nfr1,108,0.16,0.946,0.439,0.189,74.1,55.6
llama3.1:latest,nfr2,108,0.212,1.0,0.536,0.242,82.2,63.0
llama3.1:latest,nfr3,108,0.139,1.0,0.51,0.243,81.9,66.7
llama3.1:latest,nfr4,108,0.139,1.0,0.505,0.247,81.5,66.7
llama3.1:latest,nfr5,108,0.158,1.0,0.492,0.234,83.1,68.5
llama4:latest,nfr0,108,0.183,1.0,0.455,0.214,92.2,79.6
llama4:latest,nfr1,108,0.165,1.0,0.432,0.192,89.4,75.0
llama4:latest,nfr2,108,0.183,1.0,0.465,0.181,89.0,68.5
llama4:latest,nfr3,108,0.165,1.0,0.452,0.208,91.8,77.8
llama4:latest,nfr4,108,0.165,1.0,0.457,0.214,90.7,80.6
llama4:latest,nfr5,108,0.165,1.0,0.449,0.208,91.4,76.9
