model,strategy,clones,min_codebleu,max_codebleu,avg_codebleu,std_codebleu,avg_passing,all_passed_per
deepseek-r1,cot,216,0.144,0.817,0.371,0.117,80.6,61.6
deepseek-r1,few-shot,216,0.061,1.0,0.414,0.193,81.9,64.8
deepseek-r1,zero-shot,216,0.139,1.0,0.441,0.215,81.6,63.4
gemma3:latest,cot,216,0.139,1.0,0.43,0.241,82.3,54.2
gemma3:latest,few-shot,216,0.139,1.0,0.425,0.238,81.4,50.9
gemma3:latest,zero-shot,216,0.136,1.0,0.442,0.238,83.1,54.6
llama3.1:latest,cot,216,0.139,1.0,0.478,0.216,81.0,63.0
llama3.1:latest,few-shot,216,0.16,1.0,0.507,0.245,81.0,63.0
llama3.1:latest,zero-shot,216,0.158,1.0,0.508,0.242,79.5,65.3
llama4:latest,cot,216,0.182,1.0,0.429,0.185,90.4,76.4
llama4:latest,few-shot,216,0.183,1.0,0.44,0.189,91.3,76.9
llama4:latest,zero-shot,216,0.165,1.0,0.486,0.228,90.6,75.9
